State,Amount
Alabama,143
Alaska,38
Arizona,97
Arkansas,107
California,764
Colorado,156
Connecticut,156
Delaware,36
District of Columbia,54
Florida,257
Georgia,156
Hawaii,98
Idaho,64
Illinois,327
Indiana,185
Iowa,231
Kansas,110
Kentucky,130
Louisiana,80
Maine,96
Maryland,163
Massachusetts,323
Michigan,341
Minnesota,197
Mississippi,81
Missouri,260
Montana,70
Nebraska,98
Nevada,39
New Hampshire,96
New Jersey,151
New Mexico,68
New York,673
North Carolina,256
North Dakota,65
Ohio,336
Oklahoma,70
Oregon,171
Pennsylvania,305
Puerto Rico,42
Rhode Island,44
South Carolina,133
South Dakota,41
Tennessee,131
Texas,212
Utah,41
Vermont,96
Virgin Islands,4
Virginia,255
Washington,176
West Virginia,90
Wisconsin,304
Wyoming,47
